wallet,num_txns,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_deposit_amt,total_borrow_amt,total_repay_amt,repay_ratio,activity_days,score
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,43,9,14,14,6,0,1887527297712717.5,2020000000002401.0,1400214557616192.2,0.6931755235715484,57,686
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,12,4,2,2,4,0,1403638713202011.2,427498621551380.56,431110950454495.8,1.0084499194172982,71,718
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1,1,0,0,0,0,1.843331,0.0,0.0,0.0,1,19
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,9,3,0,0,6,0,49613.617891999995,0.0,0.0,0.0,50,165
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,28,7,13,0,7,1,38637062209435.06,63044034298413.18,0.0,0.0,68,311
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1,1,0,0,0,0,1.1,0.0,0.0,0.0,1,16
0x00389de87cae34a6f89e13cc8225c4984add8b37,610,328,100,76,106,0,1.484552936699508e+18,1.2582207674541379e+18,1423714.851667,1.1315302437327593e-12,59,1000
0x0039e71541bdc798d062346bce94230bf519bb72,2,1,1,0,0,0,32500000000.0,5000000000.0,0.0,0.0,1,252
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,6,2,0,0,4,0,9960000000008994.0,0.0,0.0,0.0,3,394
0x003a85c562730b196f7cba202a2515f2ff855736,177,131,22,12,12,0,3.977519507196101e+17,5000000000323200.0,5000087055004990.0,1.0000174109363569,103,1000
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,13,4,5,4,0,0,1730000000000000.0,885.864724,886.027497,1.000183744758754,3,690
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,2,2,0,0,0,0,2.105972,0.0,0.0,0.0,6,34
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,43,39,3,0,1,0,403647924878137.9,72500020209289.38,0.0,0.0,80,466
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,4,2,0,0,2,0,141.678625,0.0,0.0,0.0,20,88
0x003be39433bde975b12411fbc3025d49d813a84f,4,0,1,0,0,3,0.0,0.735469,0.0,0.0,33,0
0x003cb0842811db8d115e28f13048dd83db391dcb,1,1,0,0,0,0,1.626066,0.0,0.0,0.0,1,18
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,1,1,0,0,0,0,6308462378.533841,0.0,0.0,0.0,1,234
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,6,0,1,3,2,0,0.0,1705.879701,3412.0151690000002,2.0001499326123935,2,623
0x003e9a119439ef34de3237034cee95675b01d5d4,31,6,9,8,8,0,12468633909189.139,17349.7,14071.128198,0.8110300580413494,93,652
0x003ed65a094ef804c934f2427b601e03113882ff,2,2,0,0,0,0,200000000.0,0.0,0.0,0.0,1,202
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,144,59,50,16,19,0,1041443662163526.5,513249820437229.94,1069.3208,2.08343141569745e-12,42,671
0x003f705c2e62e268891d8aa2724e32f2176dc963,1,1,0,0,0,0,10000000000000.0,0.0,0.0,0.0,1,308
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,39,19,3,4,13,0,2083828642316590.5,17000.0,17023.583187,1.0013872462941176,32,766
0x00405f7b768a9a6b81e8060a17f0550501acf6be,144,87,40,0,17,0,30081.600471,7740167788329.321,0.0,0.0,57,431
0x0040932d4c252856709b24dc406244392d3df400,2,1,0,0,1,0,9.770602,0.0,0.0,0.0,1,34
0x0040daac32d83c78546ae36da42a496b28ab09e1,6,6,0,0,0,0,1156000000000000.0,0.0,0.0,0.0,62,400
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,1,1,0,0,0,0,500000000000.0,0.0,0.0,0.0,1,278
0x0041dac13d9365b4d695fb612950dc71884f8db1,154,43,34,55,22,0,3035900184062810.0,871319800000607.0,655191329712615.2,0.7519527614455207,52,929
0x0043090d0a3338eb89914ea9af5c529e928a044c,2,1,0,0,1,0,9104.59721,0.0,0.0,0.0,1,102
0x0043260ff376a32f335de2091e8bd455d74ecef9,1,1,0,0,0,0,1.1067,0.0,0.0,0.0,1,16
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,1,1,0,0,0,0,4428075463.80059,0.0,0.0,0.0,1,231
0x00432beb667c8908a74f35fef62882b502347e61,3,2,0,0,1,0,20.833601,0.0,0.0,0.0,4,52
0x00433d27687ff685d3871395d7fedfd42b1c3529,30,29,0,0,1,0,135099010831941.55,0.0,0.0,0.0,82,429
0x0043f8113eb1257bc6314fe0434eec0d9bac3837,8,7,0,0,1,0,128224000000000.0,0.0,0.0,0.0,53,380
0x004403abb2246c48ac770e30e7b36e3b16e152a1,12,3,5,3,1,0,6125292574661.701,2225.06,2226.910929,1.0008318557701816,24,650
0x00447d3b5f40e1bb71766b5ffc656f5391f6e9d8,2,1,0,0,1,0,1040.000838,0.0,0.0,0.0,1,80
0x0044803a27c6c45babd3fb7affb80b3f913579d7,67,33,13,6,15,0,96013535623996.86,30000000000980.0,30077541071282.324,1.0025847023433263,89,801
0x0044f0ab1281b2bc850bfa39123dec1e8e09001d,49,10,23,7,9,0,18514774119640.53,4500000000032630.5,100000000001630.31,0.022222222222423375,87,454
0x00452d3fd0e6bd68943b30af56a8df4eb7685387,6,1,1,1,3,0,262400000000000.0,223.270563,223.289236,1.00008363395402,35,679
0x004624a132094f106e977c369c8f2e1ebffb2ae1,1,1,0,0,0,0,1.106565,0.0,0.0,0.0,1,16
0x0046d10482bc3ae87fa4cb550e36706addf2304a,1,1,0,0,0,0,1.108121,0.0,0.0,0.0,1,16
0x004815f49c32e9ef6341dc2d53411a59de5a2daa,1,1,0,0,0,0,82000000000000.0,0.0,0.0,0.0,1,329
0x00481898361901f3e49bfe3e40872d09e93c2c11,6,3,0,0,3,0,251305279462300.75,0.0,0.0,0.0,26,376
0x0048e6fd005224e7e9f00058c630307f0710a84b,140,70,36,16,18,0,3.956485467566896e+16,2.074214288533697e+16,7538711787646098.0,0.36344903365675696,83,815
0x0049436d8c3da52d604cdc390e45026b2662d7f7,12,3,5,4,0,0,3.9717390290837736e+16,1.1003000000012e+16,6003965807461203.0,0.5456662553353318,48,608
0x00495585ecf70ad7dd71797c2a22951ed92b9a24,30,17,2,3,8,0,239715290460029.28,30010680291871.016,30055717765930.496,1.0015007148662232,42,729
0x004965f85a3db4d5221189595141ecab247b115d,2,2,0,0,0,0,2003017440000.0,0.0,0.0,0.0,8,309
0x0049d23daaafeaac69e336ffe9dcb9ca14dac781,91,27,20,18,26,0,3.4311653889900796e+16,2.5050654303784188e+16,2.503404727774486e+16,0.9993370621845666,16,890
0x0049f39431ab794a381deca90fa7ab85e60e6ebb,1,1,0,0,0,0,98900000000.0,0.0,0.0,0.0,1,262
0x004a61f49faeab28ac5cc72ed26a7114d134362e,1,1,0,0,0,0,1.0,0.0,0.0,0.0,1,15
0x004af1171e5783d1223056a700e992b0eccf6191,1,1,0,0,0,0,33465400000000.0,0.0,0.0,0.0,1,320
0x004afb002e3fb33c833fc16b6b63103bbf97312d,13,5,3,2,2,1,1.951435824807425e+16,5600000000005511.0,2767.26803,4.941550053566566e-13,30,335
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,4,2,2,0,0,0,218148265.486804,288190848307.2319,0.0,0.0,17,228
0x004c572659319871be9d4ab337fb3df6237979d7,1,1,0,0,0,0,0.114151,0.0,0.0,0.0,1,10
0x004c5993adfd45da327f82ec7581a6ee736bf4cb,1,1,0,0,0,0,1500000000000.0,0.0,0.0,0.0,1,289
